code,LISA_Cluster,LISA_P_Value
E01001211,0,0.303
E01001212,0,0.441
E01001213,1,0.003
E01001214,1,0.004
E01001215,1,0.002
E01001216,0,0.051
E01001217,1,0.003
E01001218,0,0.155
E01001219,0,0.094
E01001220,0,0.35
E01001221,0,0.079
E01001222,0,0.483
E01001223,0,0.088
E01001224,0,0.362
E01001225,0,0.304
E01001226,0,0.362
E01001227,0,0.167
E01001228,0,0.238
E01001229,0,0.419
E01001230,0,0.318
E01001231,0,0.203
E01001232,0,0.266
E01001233,0,0.444
E01001234,0,0.317
E01001235,0,0.397
E01001236,0,0.372
E01001237,0,0.454
E01001238,0,0.433
E01001239,3,0.035
E01001240,3,0.014
E01001241,3,0.033
E01001242,0,0.189
E01001243,0,0.107
E01001244,0,0.421
E01001245,0,0.068
E01001246,0,0.109
E01001247,0,0.127
E01001248,0,0.223
E01001249,0,0.388
E01001250,0,0.173
E01001251,0,0.143
E01001252,0,0.248
E01001253,0,0.353
E01001254,0,0.399
E01001255,0,0.104
E01001257,0,0.467
E01001258,0,0.059
E01001259,1,0.032
E01001260,0,0.433
E01001261,0,0.185
E01001262,0,0.151
E01001263,0,0.373
E01001264,0,0.22
E01001265,0,0.281
E01001266,0,0.474
E01001267,0,0.11
E01001268,0,0.271
E01001269,0,0.332
E01001270,1,0.045
E01001271,0,0.184
E01001272,0,0.119
E01001273,0,0.163
E01001274,0,0.425
E01001275,0,0.19
E01001276,0,0.382
E01001277,0,0.246
E01001278,0,0.117
E01001279,0,0.161
E01001280,0,0.399
E01001281,0,0.202
E01001282,0,0.274
E01001283,0,0.306
E01001284,0,0.188
E01001285,0,0.459
E01001286,0,0.238
E01001287,0,0.3
E01001288,0,0.302
E01001289,0,0.418
E01001290,0,0.483
E01001291,1,0.004
E01001292,1,0.023
E01001293,1,0.002
E01001294,1,0.006
E01001295,1,0.001
E01001296,1,0.002
E01001297,1,0.002
E01001298,1,0.002
E01001299,0,0.327
E01001300,0,0.354
E01001301,0,0.185
E01001302,0,0.099
E01001303,0,0.177
E01001304,0,0.254
E01001305,1,0.038
E01001306,1,0.034
E01001307,0,0.345
E01001308,0,0.055
E01001309,0,0.453
E01001310,0,0.062
E01001311,0,0.247
E01001312,0,0.404
E01001313,0,0.394
E01001314,0,0.36
E01001315,0,0.053
E01001316,2,0.023
E01001317,0,0.362
E01001318,0,0.077
E01001319,0,0.231
E01001320,0,0.313
E01001321,0,0.298
E01001322,0,0.22
E01001323,0,0.394
E01001324,0,0.425
E01001325,0,0.151
E01001326,0,0.484
E01001327,0,0.416
E01001328,0,0.469
E01001329,0,0.291
E01001330,0,0.496
E01001331,0,0.228
E01001332,0,0.439
E01001333,1,0.031
E01001334,1,0.015
E01001335,1,0.044
E01001336,1,0.003
E01001337,0,0.366
E01001338,0,0.083
E01001339,0,0.363
E01001340,0,0.489
E01001341,1,0.015
E01001342,1,0.025
E01001343,0,0.398
E01001344,0,0.153
E01001345,0,0.059
E01001346,0,0.413
E01001347,0,0.149
E01001348,0,0.335
E01001349,0,0.4
E01001350,0,0.232
E01001351,0,0.122
E01001352,0,0.247
E01001353,0,0.227
E01001354,0,0.267
E01001355,0,0.111
E01001356,0,0.228
E01001357,0,0.493
E01001358,0,0.144
E01001359,1,0.002
E01001360,1,0.026
E01001361,1,0.002
E01001362,1,0.002
E01001363,1,0.002
E01001364,1,0.002
E01001365,1,0.002
E01001366,1,0.002
E01001367,1,0.002
E01001368,1,0.002
E01001369,1,0.004
E01001370,1,0.002
E01001371,1,0.002
E01001372,1,0.002
E01001373,1,0.002
E01001374,0,0.245
E01001375,0,0.485
E01001376,0,0.166
E01001377,0,0.297
E01001379,0,0.446
E01001380,0,0.285
E01001381,0,0.111
E01001382,0,0.326
E01001383,1,0.018
E01001384,1,0.013
E01001385,0,0.172
E01001386,0,0.102
E01001387,0,0.182
E01001388,0,0.465
E01001389,0,0.224
E01001390,0,0.489
E01001391,0,0.402
E01001392,0,0.4
E01001393,0,0.453
E01001394,0,0.421
E01001395,0,0.378
E01001396,0,0.276
E01001397,0,0.08
E01001398,1,0.006
E01001399,1,0.004
E01001400,1,0.011
E01001401,1,0.004
E01001402,1,0.009
E01001403,1,0.026
E01001404,1,0.045
E01001405,2,0.019
E01001406,1,0.044
E01001407,0,0.075
E01001408,0,0.158
E01001409,0,0.198
E01001410,0,0.325
E01001411,1,0.01
E01001413,0,0.303
E01001414,2,0.048
E01001415,0,0.203
E01001416,0,0.458
E01001418,0,0.355
E01001419,0,0.106
E01001420,0,0.384
E01001421,0,0.316
E01001423,0,0.285
E01001424,0,0.294
E01001425,0,0.182
E01001426,0,0.384
E01001427,0,0.425
E01001428,0,0.192
E01001429,0,0.461
E01001430,0,0.216
E01001431,0,0.232
E01001432,0,0.422
E01001433,0,0.073
E01001434,1,0.04
E01001435,0,0.08
E01001436,1,0.032
E01001438,1,0.041
E01001439,0,0.216
E01001440,0,0.242
E01001441,0,0.15
E01001442,0,0.266
E01001444,0,0.248
E01001446,0,0.138
E01001447,0,0.143
E01001448,0,0.236
E01001449,0,0.199
E01001450,0,0.097
E01001451,0,0.097
E01001452,1,0.003
E01001453,0,0.127
E01001454,1,0.013
E01001455,1,0.031
E01001456,1,0.035
E01001457,0,0.267
E01001458,0,0.255
E01001459,0,0.105
E01001460,0,0.311
E01001461,2,0.011
E01001462,0,0.436
E01001463,0,0.055
E01001464,0,0.149
E01001465,0,0.125
E01001466,0,0.175
E01001467,1,0.03
E01001468,0,0.403
E01001469,0,0.431
E01001470,0,0.238
E01001471,0,0.175
E01001472,0,0.374
E01001473,0,0.358
E01001474,0,0.251
E01001475,0,0.275
E01001476,1,0.038
E01001477,0,0.208
E01001478,1,0.012
E01001479,1,0.022
E01001480,1,0.022
E01001481,0,0.319
E01001482,0,0.122
E01001483,0,0.225
E01001484,1,0.012
E01001485,0,0.446
E01001486,0,0.259
E01001487,0,0.171
E01001488,0,0.186
E01001489,0,0.153
E01001491,0,0.457
E01001492,0,0.458
E01001493,0,0.053
E01001494,0,0.093
E01001495,0,0.069
E01001496,1,0.009
E01001497,1,0.025
E01001498,0,0.178
E01001499,1,0.031
E01001500,0,0.299
E01001501,0,0.199
E01001502,0,0.206
E01001503,1,0.017
E01001504,0,0.294
E01001505,0,0.055
E01001507,0,0.075
E01001508,1,0.007
E01001509,0,0.412
E01001510,0,0.428
E01001511,1,0.038
E01001512,0,0.304
E01001513,0,0.113
E01001514,0,0.5
E01001515,1,0.013
E01001516,0,0.348
E01001517,0,0.109
E01001518,2,0.004
E01001519,0,0.192
E01001520,0,0.495
E01001521,0,0.174
E01001522,0,0.132
E01001523,0,0.071
E01001524,0,0.366
E01001525,0,0.359
E01001526,0,0.451
E01001527,0,0.165
E01001528,0,0.228
E01001529,0,0.491
E01001530,0,0.34
E01001531,0,0.401
E01001532,0,0.187
E01001533,0,0.474
E01001534,0,0.148
E01001535,0,0.386
E01001536,0,0.056
E01001537,0,0.107
E01001538,1,0.04
E01001539,1,0.013
E01001540,0,0.138
E01001541,1,0.009
E01001542,1,0.002
E01001543,1,0.011
E01001544,0,0.054
E01001545,0,0.238
E01001546,0,0.252
E01001547,0,0.441
E01001548,0,0.365
E01001549,0,0.274
E01001550,0,0.314
E01001553,0,0.416
E01001554,0,0.187
E01001555,0,0.182
E01001556,0,0.478
E01001557,0,0.26
E01001558,0,0.261
E01001559,0,0.345
E01001560,0,0.225
E01001562,0,0.235
E01001563,0,0.08
E01001564,0,0.193
E01001565,0,0.08
E01001566,0,0.298
E01001567,0,0.142
E01001568,0,0.065
E01001569,1,0.036
E01001570,2,0.022
E01001571,4,0.03
E01001572,3,0.004
E01001573,4,0.02
E01001574,0,0.229
E01001575,3,0.002
E01001576,3,0.035
E01001577,0,0.075
E01001578,0,0.128
E01001579,0,0.311
E01001580,3,0.001
E01001581,3,0.034
E01001582,3,0.001
E01001583,3,0.007
E01001584,3,0.003
E01001585,3,0.006
E01001586,3,0.004
E01001587,3,0.002
E01001588,3,0.001
E01001589,3,0.005
E01001590,3,0.034
E01001591,3,0.006
E01001592,0,0.123
E01001593,4,0.034
E01001594,3,0.029
E01001595,3,0.012
E01001596,0,0.318
E01001597,0,0.327
E01001598,0,0.476
E01001599,0,0.09
E01001600,0,0.332
E01001601,0,0.277
E01001602,0,0.177
E01001603,0,0.144
E01001604,0,0.186
E01001605,0,0.434
E01001606,0,0.276
E01001607,0,0.215
E01001608,0,0.308
E01001609,0,0.093
E01001610,0,0.085
E01001611,0,0.472
E01001613,0,0.125
E01001614,0,0.193
E01001615,0,0.155
E01001617,0,0.051
E01001618,0,0.29
E01001619,0,0.22
E01001620,0,0.058
E01001621,0,0.28
E01001623,0,0.133
E01001624,0,0.305
E01001625,0,0.129
E01001629,3,0.032
E01001631,0,0.096
E01001632,0,0.053
E01001633,3,0.035
E01001634,3,0.02
E01001635,0,0.258
E01001636,0,0.12
E01001637,0,0.17
E01001638,3,0.001
E01001640,3,0.001
E01001641,3,0.001
E01001642,3,0.003
E01001644,3,0.001
E01001645,0,0.064
E01001646,3,0.012
E01001647,4,0.005
E01001648,3,0.022
E01001649,0,0.493
E01001650,4,0.012
E01001651,3,0.029
E01001652,3,0.046
E01001653,0,0.133
E01001654,0,0.262
E01001655,0,0.126
E01001656,3,0.001
E01001657,3,0.006
E01001658,3,0.001
E01001659,4,0.007
E01001660,0,0.088
E01001661,0,0.23
E01001662,4,0.008
E01001664,3,0.001
E01001665,0,0.278
E01001666,0,0.061
E01001667,3,0.001
E01001668,0,0.11
E01001669,3,0.01
E01001671,0,0.077
E01001672,4,0.039
E01001673,0,0.088
E01001674,0,0.261
E01001675,0,0.146
E01001676,3,0.001
E01001677,0,0.052
E01001678,0,0.27
E01001679,3,0.002
E01001680,3,0.003
E01001681,4,0.013
E01001682,3,0.014
E01001683,0,0.099
E01001684,0,0.421
E01001685,0,0.112
E01001686,3,0.005
E01001687,3,0.004
E01001688,3,0.001
E01001690,3,0.001
E01001692,3,0.001
E01001693,3,0.001
E01001694,3,0.002
E01001695,3,0.012
E01001696,3,0.013
E01001697,3,0.023
E01001698,3,0.01
E01001699,3,0.002
E01001700,3,0.027
E01001701,3,0.001
E01001702,3,0.005
E01001703,3,0.047
E01001704,0,0.12
E01001705,3,0.006
E01001706,0,0.061
E01001708,3,0.001
E01001709,3,0.001
E01001710,3,0.006
E01001711,3,0.003
E01001712,3,0.001
E01001713,3,0.012
E01001714,3,0.011
E01001715,0,0.085
E01001716,3,0.031
E01001717,3,0.026
E01001718,3,0.027
E01001719,3,0.019
E01001720,0,0.226
E01001722,0,0.168
E01001723,0,0.224
E01001724,0,0.332
E01001725,0,0.328
E01001726,0,0.429
E01001727,0,0.283
E01001728,0,0.25
E01001729,3,0.013
E01001730,3,0.006
E01001731,3,0.002
E01001732,3,0.026
E01001733,0,0.167
E01001734,3,0.02
E01001735,3,0.007
E01001736,0,0.5
E01001737,0,0.052
E01001738,0,0.071
E01001739,0,0.082
E01001740,0,0.171
E01001741,0,0.123
E01001742,0,0.301
E01001744,0,0.09
E01001745,3,0.05
E01001746,3,0.036
E01001747,0,0.091
E01001748,3,0.033
E01001749,0,0.107
E01001750,0,0.155
E01001751,4,0.028
E01001752,3,0.023
E01001753,3,0.036
E01001754,3,0.034
E01001755,3,0.001
E01001756,3,0.019
E01001757,3,0.047
E01001758,3,0.014
E01001759,3,0.013
E01001760,3,0.013
E01001761,0,0.082
E01001762,3,0.013
E01001763,3,0.045
E01001764,0,0.264
E01001765,0,0.098
E01001767,0,0.173
E01001768,0,0.229
E01001769,0,0.289
E01001770,3,0.049
E01001772,0,0.128
E01001773,0,0.052
E01001774,0,0.061
E01001775,0,0.243
E01001776,3,0.013
E01001777,3,0.045
E01001779,3,0.004
E01001780,3,0.018
E01001781,3,0.004
E01001782,3,0.015
E01001783,3,0.006
E01001784,3,0.004
E01001785,4,0.011
E01001786,3,0.001
E01001787,3,0.001
E01001788,3,0.012
E01001789,4,0.013
E01001790,3,0.003
E01001791,3,0.013
E01001792,3,0.012
E01001793,3,0.01
E01001794,3,0.033
E01001795,0,0.103
E01001796,3,0.049
E01001798,3,0.011
E01001799,0,0.41
E01001800,0,0.419
E01001801,0,0.052
E01001802,0,0.251
E01001803,3,0.024
E01001804,0,0.059
E01001805,0,0.39
E01001806,3,0.021
E01001807,0,0.237
E01001808,0,0.262
E01001809,0,0.243
E01001811,0,0.139
E01001812,0,0.418
E01001813,3,0.006
E01001814,0,0.096
E01001815,0,0.23
E01001816,0,0.09
E01001819,0,0.298
E01001820,0,0.237
E01001821,0,0.062
E01001822,3,0.031
E01001823,0,0.469
E01001824,0,0.482
E01001825,0,0.295
E01001826,0,0.129
E01001827,0,0.198
E01001828,0,0.056
E01001829,0,0.456
E01001830,0,0.203
E01001831,0,0.167
E01001832,0,0.146
E01001833,0,0.147
E01001834,0,0.303
E01001835,0,0.134
E01001836,3,0.003
E01001837,3,0.001
E01001838,3,0.004
E01001839,3,0.013
E01001840,3,0.007
E01001841,3,0.001
E01001842,3,0.009
E01001843,3,0.02
E01001844,3,0.008
E01001845,3,0.001
E01001846,3,0.001
E01001847,3,0.002
E01001848,3,0.001
E01001849,3,0.001
E01001850,3,0.031
E01001851,1,0.049
E01001852,0,0.478
E01001853,0,0.21
E01001854,0,0.143
E01001855,0,0.322
E01001856,0,0.083
E01001857,0,0.294
E01001858,0,0.469
E01001859,0,0.078
E01001860,0,0.226
E01001861,0,0.418
E01001862,0,0.403
E01001863,0,0.466
E01001864,0,0.371
E01001865,0,0.291
E01001866,0,0.421
E01001867,0,0.24
E01001868,0,0.371
E01001869,0,0.185
E01001870,0,0.265
E01001871,0,0.445
E01001872,0,0.398
E01001873,0,0.094
E01001874,0,0.375
E01001875,0,0.07
E01001876,0,0.077
E01001877,0,0.152
E01001878,0,0.06
E01001879,0,0.098
E01001880,0,0.458
E01001881,0,0.354
E01001882,1,0.006
E01001883,0,0.301
E01001884,0,0.344
E01001885,0,0.095
E01001886,0,0.355
E01001887,0,0.375
E01001888,0,0.274
E01001889,0,0.301
E01001890,0,0.411
E01001891,0,0.497
E01001892,0,0.381
E01001893,0,0.351
E01001894,0,0.078
E01001895,0,0.324
E01001896,0,0.08
E01001897,1,0.034
E01001898,0,0.145
E01001899,1,0.045
E01001900,0,0.336
E01001901,1,0.004
E01001902,1,0.009
E01001903,0,0.083
E01001904,0,0.072
E01001905,1,0.016
E01001906,0,0.087
E01001907,0,0.162
E01001908,0,0.349
E01001909,0,0.491
E01001910,0,0.382
E01001911,0,0.37
E01001912,0,0.485
E01001913,0,0.096
E01001914,0,0.381
E01001915,0,0.133
E01001916,0,0.178
E01001917,0,0.463
E01001918,0,0.244
E01001919,0,0.267
E01001920,0,0.376
E01001921,0,0.45
E01001922,0,0.085
E01001923,0,0.49
E01001924,0,0.31
E01001925,1,0.041
E01001926,0,0.497
E01001927,0,0.232
E01001928,0,0.345
E01001929,0,0.188
E01001930,0,0.467
E01001931,0,0.49
E01001932,0,0.436
E01001933,0,0.274
E01001934,0,0.368
E01001935,0,0.453
E01001937,0,0.077
E01001938,0,0.358
E01001939,0,0.36
E01001940,0,0.276
E01001941,0,0.207
E01001942,0,0.191
E01001943,0,0.155
E01001944,0,0.28
E01001945,0,0.478
E01001946,0,0.297
E01001947,0,0.106
E01001948,1,0.034
E01001949,1,0.002
E01001950,1,0.036
E01001951,1,0.009
E01001952,0,0.156
E01001953,0,0.134
E01001954,0,0.339
E01001955,0,0.185
E01001956,0,0.451
E01001957,3,0.008
E01001958,0,0.074
E01001959,0,0.365
E01001960,0,0.339
E01001961,0,0.376
E01001962,0,0.17
E01001963,0,0.397
E01001964,0,0.192
E01001965,4,0.012
E01001966,0,0.411
E01001967,4,0.023
E01001968,0,0.185
E01001969,0,0.135
E01001970,0,0.07
E01001971,0,0.079
E01001972,0,0.052
E01001973,0,0.137
E01001974,0,0.176
E01001975,0,0.325
E01001976,0,0.235
E01001977,0,0.145
E01001978,0,0.205
E01001979,0,0.137
E01001980,0,0.405
E01001981,0,0.157
E01001982,0,0.358
E01001983,0,0.313
E01001984,0,0.117
E01001985,3,0.048
E01001986,0,0.331
E01001987,3,0.003
E01001988,0,0.191
E01001989,0,0.245
E01001990,0,0.21
E01001991,3,0.046
E01001992,3,0.041
E01001993,3,0.002
E01001994,3,0.012
E01001995,3,0.025
E01001996,3,0.024
E01001997,0,0.14
E01001998,0,0.285
E01001999,0,0.16
E01002000,0,0.12
E01002001,0,0.1
E01002002,3,0.015
E01002003,0,0.267
E01002004,0,0.184
E01002005,0,0.055
E01002006,3,0.043
E01002007,3,0.01
E01002008,3,0.001
E01002009,3,0.003
E01002010,3,0.014
E01002011,3,0.028
E01002013,0,0.338
E01002014,0,0.403
E01002015,0,0.324
E01002016,0,0.27
E01002017,0,0.214
E01002018,0,0.232
E01002019,0,0.255
E01002020,0,0.28
E01002021,0,0.298
E01002022,3,0.005
E01002023,0,0.092
E01002024,0,0.482
E01002025,3,0.014
E01002026,0,0.469
E01002027,0,0.266
E01002028,0,0.461
E01002029,0,0.232
E01002030,0,0.06
E01002031,0,0.278
E01002032,0,0.346
E01002033,0,0.164
E01002034,0,0.266
E01002036,0,0.423
E01002037,0,0.187
E01002038,0,0.129
E01002039,0,0.23
E01002040,0,0.088
E01002041,0,0.258
E01002042,0,0.263
E01002043,0,0.16
E01002044,0,0.364
E01002045,0,0.114
E01002046,3,0.032
E01002047,0,0.081
E01002048,0,0.206
E01002049,0,0.133
E01002050,0,0.27
E01002051,0,0.495
E01002052,0,0.33
E01002053,0,0.345
E01002054,0,0.14
E01002055,0,0.477
E01002056,0,0.073
E01002057,0,0.117
E01002058,3,0.008
E01002059,0,0.18
E01002060,0,0.267
E01002061,0,0.06
E01002062,0,0.309
E01002063,3,0.042
E01002064,0,0.17
E01002065,3,0.016
E01002066,3,0.021
E01002067,0,0.12
E01002068,3,0.006
E01002069,0,0.097
E01002070,0,0.148
E01002071,0,0.066
E01002072,0,0.299
E01002073,0,0.063
E01002074,0,0.329
E01002075,3,0.012
E01002076,4,0.027
E01002077,3,0.021
E01002078,3,0.007
E01002079,4,0.017
E01002080,3,0.035
E01002081,4,0.003
E01002082,0,0.132
E01002083,0,0.254
E01002084,0,0.16
E01002085,0,0.176
E01002086,0,0.157
E01002087,0,0.076
E01002088,0,0.301
E01002089,0,0.261
E01002090,0,0.481
E01002091,0,0.444
E01002092,0,0.489
E01002093,0,0.324
E01002094,0,0.482
E01002095,0,0.241
E01002096,0,0.444
E01002097,0,0.239
E01002098,0,0.092
E01002099,0,0.227
E01002100,0,0.479
E01002101,0,0.495
E01002102,0,0.132
E01002103,0,0.21
E01002104,0,0.254
E01002105,0,0.071
E01002106,1,0.004
E01002107,0,0.089
E01002108,1,0.006
E01002109,1,0.05
E01002110,1,0.002
E01002111,1,0.002
E01002112,0,0.165
E01002113,0,0.24
E01002115,0,0.43
E01002116,0,0.07
E01002117,2,0.004
E01002118,0,0.144
E01002119,0,0.201
E01002120,0,0.052
E01002121,1,0.003
E01002122,0,0.114
E01002123,0,0.359
E01002124,1,0.003
E01002125,1,0.002
E01002126,0,0.482
E01002127,0,0.365
E01002128,0,0.192
E01002129,0,0.247
E01002130,0,0.355
E01002131,0,0.158
E01002132,0,0.184
E01002133,0,0.275
E01002134,0,0.253
E01002135,0,0.466
E01002136,0,0.286
E01002137,3,0.027
E01002138,0,0.262
E01002139,1,0.004
E01002140,1,0.034
E01002141,1,0.005
E01002142,1,0.033
E01002143,1,0.037
E01002144,2,0.007
E01002145,0,0.13
E01002146,1,0.016
E01002147,1,0.049
E01002148,0,0.079
E01002149,0,0.117
E01002150,1,0.005
E01002151,0,0.094
E01002152,0,0.133
E01002153,1,0.002
E01002154,2,0.002
E01002155,1,0.044
E01002156,0,0.137
E01002157,1,0.002
E01002158,1,0.012
E01002159,0,0.133
E01002160,0,0.184
E01002161,1,0.002
E01002162,0,0.326
E01002163,0,0.09
E01002164,1,0.034
E01002165,1,0.011
E01002166,1,0.003
E01002167,1,0.002
E01002168,1,0.002
E01002169,1,0.007
E01002170,1,0.002
E01002171,1,0.002
E01002172,1,0.003
E01002173,1,0.002
E01002174,1,0.002
E01002175,1,0.002
E01002176,1,0.002
E01002177,1,0.002
E01002178,1,0.002
E01002179,1,0.031
E01002180,2,0.005
E01002181,0,0.057
E01002182,0,0.37
E01002183,1,0.025
E01002184,1,0.003
E01002185,0,0.16
E01002186,2,0.043
E01002187,1,0.011
E01002188,0,0.153
E01002189,0,0.143
E01002190,1,0.002
E01002191,1,0.002
E01002192,0,0.144
E01002193,2,0.009
E01002194,1,0.01
E01002195,1,0.004
E01002196,1,0.003
E01002197,1,0.002
E01002198,1,0.004
E01002199,1,0.002
E01002200,1,0.003
E01002201,1,0.002
E01002202,1,0.002
E01002203,0,0.079
E01002204,1,0.002
E01002206,1,0.035
E01002207,1,0.003
E01002208,1,0.004
E01002209,1,0.002
E01002210,1,0.004
E01002211,0,0.352
E01002212,1,0.012
E01002213,0,0.086
E01002214,1,0.002
E01002215,1,0.002
E01002216,1,0.002
E01002217,0,0.195
E01002218,0,0.072
E01002219,0,0.241
E01002220,1,0.004
E01002221,0,0.096
E01002222,1,0.013
E01002223,1,0.002
E01002224,0,0.054
E01002226,0,0.364
E01002227,0,0.255
E01002228,0,0.436
E01002229,0,0.081
E01002230,0,0.058
E01002231,1,0.003
E01002232,1,0.003
E01002233,1,0.004
E01002234,0,0.081
E01002235,1,0.008
E01002236,1,0.024
E01002237,0,0.484
E01002238,0,0.058
E01002239,1,0.01
E01002240,0,0.259
E01002241,0,0.089
E01002242,1,0.018
E01002243,0,0.069
E01002244,0,0.124
E01002245,1,0.005
E01002246,0,0.448
E01002247,0,0.456
E01002248,0,0.372
E01002249,2,0.021
E01002250,0,0.121
E01002251,0,0.217
E01002253,1,0.044
E01002254,1,0.015
E01002255,1,0.005
E01002256,1,0.046
E01002257,0,0.07
E01002258,1,0.008
E01002260,2,0.026
E01002261,1,0.011
E01002262,1,0.009
E01002263,2,0.009
E01002264,1,0.029
E01002265,1,0.004
E01002266,1,0.002
E01002267,1,0.011
E01002268,1,0.008
E01002269,1,0.023
E01002270,1,0.003
E01002271,1,0.044
E01002272,1,0.038
E01002273,1,0.008
E01002274,1,0.002
E01002275,1,0.004
E01002278,0,0.354
E01002279,0,0.333
E01002280,0,0.137
E01002281,0,0.197
E01002282,0,0.221
E01002283,0,0.358
E01002284,0,0.107
E01002285,1,0.002
E01002286,1,0.005
E01002287,1,0.003
E01002288,1,0.005
E01002289,1,0.013
E01002290,1,0.002
E01002291,1,0.002
E01002292,1,0.002
E01002293,2,0.018
E01002294,0,0.288
E01002295,0,0.354
E01002297,0,0.304
E01002298,0,0.307
E01002299,0,0.182
E01002300,0,0.379
E01002301,1,0.018
E01002302,1,0.003
E01002303,1,0.002
E01002305,2,0.037
E01002306,1,0.036
E01002307,0,0.067
E01002308,0,0.238
E01002309,0,0.154
E01002310,0,0.473
E01002311,2,0.038
E01002312,0,0.194
E01002313,0,0.211
E01002314,0,0.093
E01002315,0,0.18
E01002316,1,0.04
E01002317,1,0.002
E01002318,1,0.011
E01002319,1,0.009
E01002320,1,0.03
E01002321,1,0.004
E01002322,0,0.193
E01002323,0,0.47
E01002324,1,0.045
E01002325,2,0.007
E01002326,1,0.006
E01002327,1,0.002
E01002328,1,0.005
E01002329,0,0.068
E01002330,0,0.301
E01002331,0,0.195
E01002332,1,0.002
E01002333,1,0.004
E01002334,1,0.002
E01002335,1,0.002
E01002336,1,0.002
E01002337,2,0.02
E01002338,1,0.002
E01002339,0,0.079
E01002340,1,0.006
E01002341,1,0.016
E01002342,0,0.053
E01002343,0,0.292
E01002345,2,0.024
E01002346,0,0.173
E01002347,1,0.048
E01002349,0,0.225
E01002350,0,0.342
E01002351,0,0.067
E01002352,1,0.035
E01002353,1,0.022
E01002354,0,0.115
E01002355,0,0.095
E01002356,0,0.302
E01002358,0,0.069
E01002359,1,0.011
E01002360,1,0.002
E01002361,1,0.004
E01002362,1,0.005
E01002363,1,0.004
E01002364,1,0.009
E01002365,1,0.013
E01002366,1,0.002
E01002367,1,0.002
E01002368,0,0.113
E01002369,1,0.033
E01002370,1,0.019
E01002371,0,0.055
E01002372,1,0.024
E01002373,1,0.002
E01002374,1,0.006
E01002375,1,0.014
E01002376,0,0.168
E01002377,1,0.04
E01002378,0,0.067
E01002379,1,0.018
E01002380,0,0.068
E01002381,1,0.017
E01002382,1,0.007
E01002383,0,0.296
E01002384,0,0.141
E01002386,2,0.003
E01002387,1,0.004
E01002388,1,0.014
E01002389,1,0.001
E01002390,1,0.013
E01002392,1,0.004
E01002393,1,0.043
E01002394,1,0.002
E01002395,1,0.011
E01002396,1,0.004
E01002397,0,0.06
E01002398,1,0.011
E01002399,1,0.004
E01002400,0,0.052
E01002401,1,0.05
E01002402,0,0.095
E01002403,1,0.031
E01002404,0,0.476
E01002405,0,0.439
E01002406,0,0.495
E01002407,0,0.058
E01002408,0,0.127
E01002409,0,0.114
E01002410,0,0.469
E01002411,0,0.156
E01002412,0,0.258
E01002413,0,0.49
E01002414,0,0.302
E01002415,1,0.003
E01002416,1,0.003
E01002417,1,0.003
E01002418,1,0.002
E01002419,1,0.003
E01002420,1,0.002
E01002421,1,0.002
E01002422,1,0.041
E01002423,1,0.004
E01002424,0,0.056
E01002425,1,0.032
E01002426,0,0.055
E01002427,1,0.006
E01002428,0,0.07
E01002429,0,0.231
E01002430,0,0.248
E01002431,1,0.008
E01002432,1,0.003
E01002433,2,0.021
E01002434,0,0.144
E01002435,0,0.06
E01002436,0,0.411
E01002437,1,0.012
E01002439,0,0.178
E01002440,0,0.4
E01002443,0,0.089
E01002445,0,0.069
E01002446,0,0.135
E01002447,0,0.423
